Y	M	D	H	T
2021	1	27	10	20.07
2021	1	27	11	21.21
2021	1	27	12	22.05
2021	1	27	13	22.44
2021	1	27	14	22.25
2021	1	27	15	21.29
2021	1	27	16	18.58
2021	1	27	17	13.65
2021	1	27	18	12.83
2021	1	27	19	12.85
2021	1	27	20	12.42
2021	1	27	21	11.51
2021	1	27	22	10.3
2021	1	27	23	9.12
2021	1	28	0	8.09
2021	1	28	1	7.24
2021	1	28	2	6.69
2021	1	28	3	6.4
2021	1	28	4	6.03
2021	1	28	5	5.45
2021	1	28	6	6.05
2021	1	28	7	11.33
2021	1	28	8	14.77
2021	1	28	9	17.25
2021	1	28	10	19.26
2021	1	28	11	20.75
2021	1	28	12	21.67
2021	1	28	13	22.01
2021	1	28	14	21.73
2021	1	28	15	20.74
2021	1	28	16	18.12
2021	1	28	17	13.45
2021	1	28	18	12.14
2021	1	28	19	11.36
2021	1	28	20	10.54
2021	1	28	21	9.51
2021	1	28	22	8.4
2021	1	28	23	7.3
2021	1	29	0	6.58
2021	1	29	1	6.1
2021	1	29	2	5.77
2021	1	29	3	5.58
2021	1	29	4	5.43
2021	1	29	5	5.26
2021	1	29	6	6.24
2021	1	29	7	9.82
2021	1	29	8	13.71
2021	1	29	9	16.46
2021	1	29	10	18.24
2021	1	29	11	19.49
2021	1	29	12	20.15
2021	1	29	13	20.23
2021	1	29	14	19.71
2021	1	29	15	18.55
2021	1	29	16	15.76
2021	1	29	17	10.34
2021	1	29	18	8.89
2021	1	29	19	7.87
2021	1	29	20	7.03
2021	1	29	21	6.34
2021	1	29	22	5.87
2021	1	29	23	5.55
2021	1	30	0	5.15
2021	1	30	1	4.71
2021	1	30	2	4.31
2021	1	30	3	3.93
2021	1	30	4	3.58
2021	1	30	5	3.32
2021	1	30	6	4.56
2021	1	30	7	10.62
2021	1	30	8	14.8
2021	1	30	9	18.03
2021	1	30	10	19.89
2021	1	30	11	21.16
2021	1	30	12	21.9
2021	1	30	13	22.15
2021	1	30	14	21.87
2021	1	30	15	20.94
2021	1	30	16	17.78
2021	1	30	17	12.58
2021	1	30	18	11.48
2021	1	30	19	10.95
2021	1	30	20	10
2021	1	30	21	9.13
2021	1	30	22	8.65
2021	1	30	23	8.24
2021	1	31	0	7.76
2021	1	31	1	7.26
2021	1	31	2	6.65
2021	1	31	3	6.08
2021	1	31	4	5.43
2021	1	31	5	5.06
2021	1	31	6	5.73
2021	1	31	7	11.09
2021	1	31	8	15.38
2021	1	31	9	18.33
2021	1	31	10	20.43
2021	1	31	11	21.76
2021	1	31	12	22.34
2021	1	31	13	22.22
2021	1	31	14	21.37
2021	1	31	15	19.8
2021	1	31	16	16.95
2021	1	31	17	12.55
2021	1	31	18	11.06
2021	1	31	19	9.76
2021	1	31	20	8.76
2021	1	31	21	7.94
2021	1	31	22	7.24
2021	1	31	23	6.75
2021	2	1	0	6.34
2021	2	1	1	5.99
2021	2	1	2	5.71
2021	2	1	3	5.51
2021	2	1	4	5.31
2021	2	1	5	5.12
2021	2	1	6	6.51
